単位[MW平均],,,供給力
DATE,TIME,エリア需要,原子力,火力(LNG),火力(石炭),火力(石油),火力(その他),水力,地熱,バイオマス,太陽光発電実績,太陽光出力制御量,風力発電実績,風力出力制御量,揚水,蓄電池,連系線,その他,合計
2026/5/3,20:30,24185,1314,9036,2817,101,911,1562,0,497,0,0,325,0,3229,23,4104,267,24186
2026/5/3,21:00,23614,1315,8742,2815,101,893,1539,0,498,0,0,330,0,2879,10,4229,264,23615
2026/5/3,21:30,22985,1315,8408,2814,101,880,1534,0,498,0,0,312,0,2559,7,4288,269,22985
2026/5/3,22:00,22423,1315,8272,2815,102,889,1505,0,498,0,0,330,0,2055,4,4377,263,22425
2026/5/3,22:30,21877,1315,7818,2815,101,939,1459,0,499,0,0,376,0,1546,2,4834,173,21877
2026/5/3,23:00,21622,1315,8052,2814,101,963,1483,0,497,0,0,399,0,925,2,4841,228,21620
2026/5/3,23:30,20923,1315,7560,2814,101,911,1471,0,497,0,0,390,0,784,5,4827,248,20923
2026/5/4,0:00,20253,1314,7621,2814,101,901,1392,0,496,0,0,350,0,481,4,4487,291,20252
2026/5/4,0:30,19534,1314,7020,2738,101,901,1395,0,494,0,0,338,0,240,1,4669,322,19533
2026/5/4,1:00,19283,1316,6728,2702,101,904,1394,0,495,0,0,363,0,220,2,4722,336,19283
2026/5/4,1:30,18988,1315,6454,2607,101,936,1393,0,497,0,0,373,0,220,2,4748,342,18988
2026/5/4,2:00,19032,1315,6915,2526,101,979,1403,0,496,0,0,363,0,260,0,4327,347,19032
2026/5/4,2:30,19264,1316,7168,2529,101,1007,1422,0,495,0,0,384,0,480,0,4020,342,19264
2026/5/4,3:00,19401,1316,7402,2526,101,961,1427,0,498,0,0,345,0,613,0,3865,347,19401
2026/5/4,3:30,19530,1315,7396,2520,102,987,1435,0,497,0,0,393,0,661,0,3886,337,19529
2026/5/4,4:00,19643,1316,7337,2480,102,969,1436,0,496,0,0,312,0,727,0,4137,331,19643
2026/5/4,4:30,19800,1315,7280,2478,103,937,1432,0,496,0,0,322,0,866,0,4256,314,19799
2026/5/4,5:00,19875,1315,7032,2511,103,946,1433,0,495,87,0,323,0,771,0,4568,292,19876
2026/5/4,5:30,19718,1315,6715,2476,103,921,1430,0,496,227,0,340,0,646,1,4780,268,19718
2026/5/4,6:00,19734,1315,6727,2346,103,919,1411,0,496,450,0,320,0,473,2,4888,283,19733
2026/5/4,6:30,19892,1315,6556,2311,103,962,1407,0,494,914,0,335,0,849,1,4341,303,19891
2026/5/4,7:00,20367,1315,5828,2329,102,978,1404,0,495,1574,0,351,0,554,3,5139,295,20367
2026/5/4,7:30,20910,1315,5950,2372,89,980,1404,0,494,2178,0,361,0,-40,8,5509,290,20910
2026/5/4,8:00,21160,1314,5959,2452,85,962,1402,0,454,2837,191,285,110,83,1,5092,234,21160
2026/5/4,8:30,21880,1315,5256,2501,85,922,1404,0,451,4332,216,294,121,10,0,5084,227,21881
2026/5/4,9:00,22453,1315,5137,2476,85,884,1384,0,449,5965,295,306,111,-516,0,4740,227,22452
2026/5/4,9:30,22595,1315,5259,2279,85,886,1371,0,449,7697,343,295,120,-1742,0,4473,228,22595
2026/5/4,10:00,23222,1314,5274,2081,85,908,1369,0,447,9921,416,304,110,-3216,1,4507,228,23223
2026/5/4,10:30,24141,1315,6028,1979,85,899,1360,0,446,10559,1475,169,259,-4058,1,5128,230,24141
2026/5/4,11:00,24627,1315,5757,1830,85,918,1356,0,448,10747,1967,131,289,-3160,1,4962,236,24626
2026/5/4,11:30,25005,1315,5551,1833,84,887,1349,0,447,10977,2185,144,268,-2907,1,5090,233,25004
2026/5/4,12:00,24884,1315,6078,1876,85,870,1348,0,444,9688,3353,106,310,-2452,1,5284,240,24883
2026/5/4,12:30,24897,1315,5796,2063,85,885,1353,0,445,9525,3411,97,317,-2460,1,5551,240,24896
2026/5/4,13:00,25024,1315,5880,2146,85,844,1342,0,444,9583,2700,131,292,-2639,0,5653,239,25023
2026/5/4,13:30,25179,1314,6057,2162,101,846,1348,0,445,10385,887,269,135,-3570,0,5581,240,25178
2026/5/4,14:00,24824,1314,6030,2329,85,876,1344,0,445,9022,564,340,106,-3040,0,5838,239,24822
2026/5/4,14:30,24869,1315,5988,2478,85,965,1341,0,446,7402,341,331,103,-1624,1,5907,235,24870
2026/5/4,15:00,24286,1315,6106,2685,85,963,1337,0,447,5448,247,321,105,-467,2,5813,231,24286
2026/5/4,15:30,23683,1315,6499,2943,85,969,1340,0,450,3913,195,293,107,596,0,5044,235,23682
2026/5/4,16:00,24321,1315,7062,3014,90,993,1549,0,488,3088,0,330,0,525,2,5635,231,24322
2026/5/4,16:30,24130,1315,7524,3069,103,1005,1559,0,490,1892,0,356,0,657,4,5928,230,24132
2026/5/4,17:00,24426,1315,8029,3104,104,978,1540,0,491,1043,0,350,0,1270,5,5958,240,24427
2026/5/4,17:30,24845,1314,8481,3165,104,1000,1548,0,491,432,0,364,0,2116,25,5597,209,24846
2026/5/4,18:00,25412,1314,8496,3387,104,1015,1539,0,493,57,0,384,0,2785,29,5657,151,25411
2026/5/4,18:30,25883,1314,8571,3391,104,1031,1549,0,493,0,0,330,0,3486,29,5412,175,25885
2026/5/4,19:00,25790,1315,8539,3389,105,1051,1550,0,495,0,0,340,0,3334,29,5475,168,25790
2026/5/4,19:30,25320,1316,8476,3392,105,1007,1557,0,495,0,0,330,0,3583,27,4851,181,25320
2026/5/4,20:00,24789,1315,8546,3393,105,982,1571,0,497,0,0,317,0,3024,22,4825,191,24788
2026/5/4,20:30,24272,1314,8390,3391,104,973,1566,0,497,0,0,341,0,2216,18,5256,207,24273
2026/5/4,21:00,23643,1314,8312,3391,103,951,1538,0,498,0,0,334,0,2003,5,4980,214,23643
2026/5/4,21:30,23003,1314,7562,3392,102,955,1537,0,498,0,0,304,0,1594,1,5526,218,23003
2026/5/4,22:00,22410,1314,7395,3391,103,982,1570,0,499,0,0,306,0,1078,2,5549,222,22411
2026/5/4,22:30,21887,1315,7782,3392,104,937,1538,0,499,0,0,320,0,419,6,5332,242,21886
